Unnamed: 0,Model,Company,Price,Rating,No_of_ratings,TotalReviwes,RamSize,RomSize
18538,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)",realme,24999,4.5,4381,565,6 GB,128 GB
18539,Nokia 105 PLUS,Nokia,1549,4.1,5686,404,4 MB,4 MB
18540,"Infinix Note 12 Pro (Volcanic Grey, 256 GB)",Infinix,14999,4.2,2968,337,8 GB,256 GB
18541,"realme 9 5G SE (Azure Glow, 128 GB)",realme,19999,4.4,25528,2116,6 GB,128 GB
18542,"realme 9 5G SE (Starry Glow, 128 GB)",realme,19999,4.4,25528,2116,6 GB,128 GB
18543,"realme C30s (Stripe Black, 32 GB)",realme,7499,4.5,3975,143,2 GB,32 GB
18544,"REDMI 9i (Sea Blue, 64 GB)",REDMI,8999,4.3,575907,33942,4 GB,64 GB
18545,LAVA A1 Super 2021,LAVA,1199,4.0,2088,161,32 MB,24 MB
18546,Micromax X415,Micromax,925,3.9,747,66,32 MB,32 MB
18547,Micromax X415,Micromax,957,3.9,1083,77,56 MB,36 MB
18548,"realme C11 2021 (Cool Grey, 64 GB)",realme,8999,4.3,204720,11070,4 GB,64 GB
18549,"APPLE iPhone 13 (Blue, 128 GB)",APPLE,60999,4.7,177611,9781,128 GB,Not Known
18550,"realme C11 2021 (Cool Blue, 64 GB)",realme,8999,4.3,204720,11070,4 GB,64 GB
18551,"Itel Magic2 4G( WiFi,Hotspot Tethering)",Itel,2450,4.0,18315,2667,64 MB,128 MB
18552,"MOTOROLA g22 (Cosmic Black, 64 GB)",MOTOROLA,9499,3.7,26741,3220,4 GB,64 GB
18553,BlackZone B-312 Gold,BlackZone,889,3.7,588,34,10 MB,10 MB
18554,SAMSUNG GURU 1200,SAMSUNG,1599,4.0,1087,76,NA MB,Not Known
18555,"REDMI K50i 5G (Stealth Black, 128 GB)",REDMI,24830,4.2,874,126,6 GB,128 GB
18556,"Infinix HOT 20 5G (Space Blue, 64 GB)",Infinix,11499,4.2,831,107,4 GB,64 GB
18557,"APPLE iPhone 11 (White, 128 GB)",APPLE,44999,4.6,176742,10518,128 GB,Not Known
18558,Nokia 125 DS 2020,Nokia,2099,3.9,5895,402,4 MB,4 MB
18559,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)",REDMI,17990,4.2,275,19,6 GB,128 GB
18560,"IQOO Neo 6 5G (Dark Nova, 128 GB)",IQOO,30329,4.3,754,91,8 GB,128 GB
18561,"realme C25_Y (Glacier Blue, 64 GB)",realme,10999,4.5,46231,2216,4 GB,64 GB
18562,"realme C25_Y (Metal Grey, 128 GB)",realme,11999,4.5,46231,2216,4 GB,128 GB
18563,MTR MT322,MTR,749,3.7,26,3,32 MB,32 MB
18564,Micromax X702,Micromax,1120,3.6,220,14,32 MB,32 MB
18565,"SAMSUNG GALAXY M13 5G (Aqua Green, 128 GB)",SAMSUNG,14838,4.1,402,28,6 GB,128 GB
18566,"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)",SAMSUNG,19722,4.3,784,58,8 GB,128 GB
18567,"vivo Y33T (Mid day dream, 128 GB)",vivo,16990,4.4,2462,175,8 GB,128 GB
18568,"POCO M5 (Power Black, 64 GB)",POCO,10999,4.3,2782,214,4 GB,64 GB
18569,"APPLE iPhone 12 mini (White, 64 GB)",APPLE,38999,4.5,123326,9923,64 GB,Not Known
18570,"itel Vision3 (Multi Green, 32 GB)",itel,5766,4.3,43,3,2 GB,32 GB
18571,LAVA A1 Super 2021,LAVA,1199,4.0,2088,161,32 MB,24 MB
18572,"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)",SAMSUNG,11490,4.2,1860,131,4 GB,64 GB
18573,"realme 9 5G SE (Azure Glow, 128 GB)",realme,22999,4.3,2263,210,8 GB,128 GB
18574,"realme 9 5G SE (Starry Glow, 128 GB)",realme,22999,4.3,2263,210,8 GB,128 GB
18575,"Redmi 9A Sport (Coral Green, 32 GB)",Redmi,7499,4.2,5872,437,3 GB,32 GB
18576,"OPPO A16 (Crystal Black, 64 GB)",OPPO,12990,4.3,3670,262,4 GB,64 GB
18577,"REDMI Note 11S (Horizon Blue, 128 GB)",REDMI,15829,4.2,872,85,8 GB,128 GB
18578,"MOTOROLA Edge 30 Ultra (Interstellar Black, 256 GB)",MOTOROLA,59999,4.2,194,54,12 GB,256 GB
18579,Nokia 125 DS 2020,Nokia,2099,3.9,5895,402,4 MB,4 MB
18580,itel Power 410,itel,1499,4.1,1689,163,4 MB,4 MB
18581,SAMSUNG Guru Music 2 SM-B315E,SAMSUNG,2022,4.2,9103,662,Expandable Upto,Not Known
18582,"vivo Y33T (Mid day dream, 128 GB)",vivo,16990,4.4,2462,175,8 GB,128 GB
18583,"POCO M5 (Icy Blue, 64 GB)",POCO,10999,4.3,2782,214,4 GB,64 GB
18584,"Moto G71 5G (Arctic Blue, 128 GB)",Moto,16999,4.2,21817,2541,6 GB,128 GB
18585,SAMSUNG GURU 1200,SAMSUNG,1599,4.0,1087,76,NA MB,Not Known
18586,Nokia 125 TA-1253 DS,Nokia,2099,4.0,2787,188,4 MB,4 MB
18587,"OPPO A16 (Pearl Blue, 64 GB)",OPPO,12990,4.3,3670,262,4 GB,64 GB
18588,"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",vivo,23999,4.4,7325,702,6 GB,128 GB
18589,"realme 9i 5G (Metallica Gold, 128 GB)",realme,16999,4.3,4970,354,6 GB,128 GB
18590,"vivo Y15c (Wave Green, 32 GB)",vivo,9948,4.1,1047,75,3 GB,32 GB
18592,Kechaoda A26,Kechaoda,1150,4.1,14177,1019,32 MB,32 MB
18593,"realme Narzo 50 (Speed Blue, 64 GB)",realme,12999,4.5,14747,936,4 GB,64 GB
18594,"APPLE iPhone 11 (Red, 128 GB)",APPLE,44999,4.6,176742,10518,128 GB,Not Known
18595,"realme Narzo 50 (Speed Blue, 128 GB)",realme,15499,4.4,7120,534,6 GB,128 GB
18596,Kechaoda A26,Kechaoda,1199,4.1,14177,1019,32 MB,32 MB
18597,"REDMI Note 10 Lite (Glacier White, 128 GB)",REDMI,19900,4.3,843,67,6 GB,128 GB
18598,"realme 9 Pro+ 5G (Sunrise Blue, 256 GB)",realme,25499,4.4,27012,3068,8 GB,256 GB
18599,"realme C25_Y (Metal Grey, 64 GB)",realme,10999,4.5,46231,2216,4 GB,64 GB
18600,"realme C25_Y (Glacier Blue, 128 GB)",realme,11999,4.5,46231,2216,4 GB,128 GB
18601,GREENBERRI F1,GREENBERRI,1299,3.9,1511,116,64 MB,64 MB
18602,"Redmi Note 11 PRO Plus 5G (Stealth Black, 128 GB)",Redmi,20295,4.2,5366,457,6 GB,128 GB
18603,LAVA 34 Ultra,LAVA,1647,4.1,1418,160,24 MB,32 MB
18604,"REDMI 10A SPORT (SEA BLUE, 128 GB)",REDMI,10417,4.0,548,37,6 GB,128 GB
18605,itel Ace 2N,itel,899,4.2,354,17,4 MB,4 MB
18606,"realme 8 5G (Supersonic Black, 128 GB)",realme,16499,4.3,75662,6017,4 GB,128 GB
18608,"APPLE iPhone 14 Plus (Blue, 128 GB)",APPLE,82999,4.6,412,48,128 GB,Not Known
18609,itel it2175,itel,1099,4.0,326,34,4 MB,4 MB
18610,"REDMI 10A (Sea Blue, 64 GB)",REDMI,8998,4.2,7695,484,4 GB,64 GB
18611,"APPLE iPhone 11 (Black, 128 GB)",APPLE,44999,4.6,176742,10518,128 GB,Not Known
18612,"itel A49 (Crystal Purple, 32 GB)",itel,5699,4.2,466,29,2 GB,32 GB
18613,"REDMI 9 Activ (Coral Green, 64 GB)",REDMI,9999,4.2,9079,644,4 GB,64 GB
18614,"MOTOROLA e22s (Eco Black, 64 GB)",MOTOROLA,9189,4.2,21,0,4 GB,64 GB
18615,"POCO M5 (Power Black, 64 GB)",POCO,10999,4.3,2782,214,4 GB,64 GB
18616,"OPPO Reno8 5G (Shimmer Black, 128 GB)",OPPO,29999,4.3,32029,4184,8 GB,128 GB
18617,"OPPO Reno8 5G (Shimmer Gold, 128 GB)",OPPO,29999,4.3,32029,4184,8 GB,128 GB
18618,"Tecno Pop 5 LTE (Ice Blue, 32 GB)",Tecno,6485,4.2,667,41,2 GB,32 GB
18619,itel IT5626,itel,1749,4.0,1205,127,8 MB,8 MB
18620,itel IT5626,itel,1749,4.0,1205,127,8 MB,8 MB
18621,"APPLE iPhone 11 (Green, 64 GB)",APPLE,39999,4.6,176742,10518,64 GB,Not Known
18622,"IQOO Z6 5G (Chromatic Blue, 128 GB)",IQOO,18499,4.1,307,23,8 GB,128 GB
18623,"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",SAMSUNG,17490,4.2,7179,613,6 GB,128 GB
18624,"REDMI Note 11 SE (Space Black, 64 GB)",REDMI,11999,4.3,30409,1886,6 GB,64 GB
18625,GREENBERRI F1,GREENBERRI,1299,3.9,1511,116,64 MB,64 MB
18626,"POCO M5 (Icy Blue, 128 GB)",POCO,12999,4.3,1359,93,6 GB,128 GB
18627,"APPLE iPhone 14 Plus (Blue, 128 GB)",APPLE,82999,4.6,412,48,128 GB,Not Known
18628,Nokia TA-1304/105 SS,Nokia,1349,4.2,62955,4933,4 MB,4 MB
18629,itel it2175,itel,1099,4.0,326,34,4 MB,4 MB
18630,"REDMI 10A (Sea Blue, 64 GB)",REDMI,8998,4.2,7695,484,4 GB,64 GB
18631,Kechaoda A26,Kechaoda,1199,4.1,14177,1019,32 MB,32 MB
18632,"APPLE iPhone 11 (Black, 128 GB)",APPLE,44999,4.6,176742,10518,128 GB,Not Known
18633,"REDMI 10 Power (Sporty Orange, 128 GB)",REDMI,13949,4.1,503,32,8 GB,128 GB
18634,"itel A49 (Crystal Purple, 32 GB)",itel,5699,4.2,466,29,2 GB,32 GB
18635,"POCO X4 Pro 5G (Yellow, 128 GB)",POCO,21999,4.1,14202,1467,8 GB,128 GB
18636,"OPPO Reno8 5G (Shimmer Black, 128 GB)",OPPO,29999,4.3,32029,4184,8 GB,128 GB
18637,itel it2163S,itel,989,4.0,563,53,4 MB,4 MB
18638,"OPPO Reno8 5G (Shimmer Gold, 128 GB)",OPPO,29999,4.3,32029,4184,8 GB,128 GB
18640,"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Redmi,13999,4.3,26637,1828,4 GB,128 GB
18641,"IQOO Z6 5G (Chromatic Blue, 128 GB)",IQOO,18499,4.1,307,23,8 GB,128 GB
18642,itel IT5626,itel,1749,4.0,1205,127,8 MB,8 MB
18643,"APPLE iPhone 11 (Green, 64 GB)",APPLE,39999,4.6,176742,10518,64 GB,Not Known
18644,itel IT5626,itel,1749,4.0,1205,127,8 MB,8 MB
18645,"REDMI Note 10 Pro (Vintage Bronze, 128 GB)",REDMI,17999,4.3,41637,3899,6 GB,128 GB
18646,DIZO Star 500,DIZO,1890,4.0,12294,1460,32 MB,32 MB
18647,"APPLE iPhone 14 Plus (Starlight, 256 GB)",APPLE,92999,4.6,412,48,256 GB,Not Known
18648,Kechaoda A26,Kechaoda,1199,4.1,14177,1019,32 MB,32 MB
18649,"realme 9 Pro 5G (Aurora Green, 128 GB)",realme,20999,4.3,13963,1127,8 GB,128 GB
18650,"MOTOROLA e32s (Slate Gray, 64 GB)",MOTOROLA,8849,3.8,1332,161,4 GB,64 GB
18651,"REDMI Note 11S (Horizon Blue, 128 GB)",REDMI,16700,4.2,872,85,8 GB,128 GB
18652,"Redmi 9A Sport (Carbon Black, 32 GB)",Redmi,6789,4.1,24369,1859,2 GB,32 GB
18653,"SAMSUNG GALAXY M13 5G (Midnight Blue, 128 GB)",SAMSUNG,14888,4.1,402,28,6 GB,128 GB
18654,"realme 9 Pro 5G (Midnight Black, 128 GB)",realme,20999,4.3,13963,1127,8 GB,128 GB
18655,"realme 9i 5G (Soulful Blue, 128 GB)",realme,16999,4.3,4970,354,6 GB,128 GB
18656,"REDMI Note 11 Pro (Phantom White, 128 GB)",REDMI,17830,4.2,978,80,6 GB,128 GB
18657,itel U20,itel,1099,4.1,867,69,4 MB,32 MB
18658,LAVA A1 Josh,LAVA,1029,4.2,32124,3152,4 MB,1 KB
18659,"Infinix HOT 20 5G (Racing Black, 64 GB)",Infinix,11499,4.2,831,107,4 GB,64 GB
18660,Micromax X746,Micromax,1450,4.0,20881,2240,32 MB,32 MB
18661,"realme C20 (Cool Grey, 32 GB)",realme,7499,4.4,296108,14044,2 GB,32 GB
18662,Micromax J2,Micromax,940,3.7,301,17,32 MB,32 MB
18663,"realme 8i (Space Purple, 64 GB)",realme,13999,4.5,171965,10805,4 GB,64 GB
18664,"realme 8i (Space Black, 64 GB)",realme,13999,4.5,171965,10805,4 GB,64 GB
18665,SAMSUNG GURU 1200,SAMSUNG,1690,4.1,459,28,4 MB,4 MB
18666,Kechaoda K90,Kechaoda,1599,3.5,72,8,32 MB,32 MB
18667,"APPLE iPhone 13 (Green, 128 GB)",APPLE,60999,4.7,177611,9781,128 GB,Not Known
18668,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",SAMSUNG,11499,4.3,101336,9764,4 GB,64 GB
18669,"APPLE iPhone 14 Plus (Starlight, 256 GB)",APPLE,92999,4.6,412,48,256 GB,Not Known
18670,"SAMSUNG Galaxy A73 5G (Awesome Gray, 128 GB)",SAMSUNG,41999,4.2,1256,165,8 GB,128 GB
18671,"IQOO 9 5G (Alpha, 256 GB)",IQOO,39990,4.0,34,4,12 GB,256 GB
18672,"vivo Y21G (Diamond Glow, 64 GB)",vivo,13499,4.3,1985,159,4 GB,64 GB
18673,"SAMSUNG Galaxy A73 5G (Awesome Gray, 128 GB)",SAMSUNG,41999,4.2,1256,165,8 GB,128 GB
18674,"Redmi Note 11 (Horizon Blue, 128 GB)",Redmi,14990,4.2,9161,718,6 GB,128 GB
18675,"REDMI 9 Activ (Carbon Black, 64 GB)",REDMI,8091,4.2,9079,644,4 GB,64 GB
18676,"Infinix Zero 20 (Glitter Gold, 128 GB)",Infinix,17999,4.4,449,80,8 GB,128 GB
18678,"APPLE iPhone 14 Plus (Starlight, 128 GB)",APPLE,82999,4.6,412,48,128 GB,Not Known
18679,"Google Pixel 7 (Obsidian, 128 GB)",Google,59999,4.4,1775,329,8 GB,128 GB
18680,"SAMSUNG Galaxy M32 Prime Edition (Light Blue, 64 GB)",SAMSUNG,11570,4.1,95,7,4 GB,64 GB
18681,"Google Pixel 7 (Lemongrass, 128 GB)",Google,59999,4.4,1775,329,8 GB,128 GB
18682,"REDMI Note 11S (Horizon Blue, 128 GB)",REDMI,16700,4.2,872,85,8 GB,128 GB
18683,"REDMI 10 Prime 2022 (Astral White, 64 GB)",REDMI,11797,4.2,3015,216,4 GB,64 GB
18684,"POCO M3 Pro 5G (Power Black, 128 GB)",POCO,17999,4.2,52420,4434,6 GB,128 GB
18685,"REDMI Note 11S (Polar White, 128 GB)",REDMI,16480,4.2,2082,170,6 GB,128 GB
18686,"MOTOROLA g22 (Mint Green, 64 GB)",MOTOROLA,9499,3.7,26741,3220,4 GB,64 GB
18687,Kechaoda K66 The Music House 4,Kechaoda,1180,3.9,15548,1207,32 MB,64 MB
18688,Kechaoda K66 The Music House 4,Kechaoda,1165,3.9,15548,1207,32 MB,64 MB
18689,Kechaoda K66 The Music House 4,Kechaoda,1199,3.9,15548,1207,32 MB,64 MB
18690,"realme narzo 50 5G (Hyper Blue, 128 GB)",realme,17489,4.3,4,0,6 MB,128 GB
18691,Kechaoda A26,Kechaoda,1199,4.1,14177,1019,32 MB,32 MB
18692,Kechaoda K33,Kechaoda,1130,4.0,8248,552,32 MB,32 MB
18693,Kechaoda K115,Kechaoda,1138,4.1,28686,2225,32 MB,32 MB
18694,Kechaoda K115,Kechaoda,1180,4.1,28686,2225,32 MB,32 MB
18695,Kechaoda K115,Kechaoda,1140,4.1,28686,2225,32 MB,32 MB
18696,"Redmi Note 11 (Horizon Blue, 128 GB)",Redmi,14990,4.2,9161,718,6 GB,128 GB
18697,"Google Pixel 7 (Obsidian, 128 GB)",Google,59999,4.4,1775,329,8 GB,128 GB
18698,"OnePlus 10R 5G (Sierra Black, 128 GB)",OnePlus,34998,4.3,1460,128,8 GB,128 GB
18699,"OPPO A17 (Lake Bule, 64 GB)",OPPO,13400,4.4,1044,45,4 GB,64 GB
18700,"realme 9 5G SE (Azure Glow, 128 GB)",realme,22999,4.3,2263,210,8 GB,128 GB
18701,"POCO M3 Pro 5G (Power Black, 128 GB)",POCO,17999,4.2,52420,4434,6 GB,128 GB
18703,"APPLE iPhone 14 Plus (Starlight, 128 GB)",APPLE,82999,4.6,412,48,128 GB,Not Known
18704,"REDMI Note 11S (Horizon Blue, 128 GB)",REDMI,16698,4.2,872,85,8 GB,128 GB
18705,Kechaoda K66 The Music House 4,Kechaoda,1199,3.9,15548,1207,32 MB,64 MB
18706,Kechaoda K66 The Music House 4,Kechaoda,1165,3.9,15548,1207,32 MB,64 MB
18707,"SAMSUNG Galaxy M32 Prime Edition (Light Blue, 64 GB)",SAMSUNG,11570,4.1,95,7,4 GB,64 GB
18708,"APPLE iPhone 11 (Purple, 64 GB)",APPLE,39999,4.6,176742,10518,64 GB,Not Known
18709,Kechaoda K33,Kechaoda,1130,4.0,8248,552,32 MB,32 MB
18710,GREENBERRI F1,GREENBERRI,1299,3.9,1511,116,64 MB,64 MB
18711,"REDMI Note 11S (Polar White, 128 GB)",REDMI,16480,4.2,2082,170,6 GB,128 GB
18712,"MOTOROLA g22 (Mint Green, 64 GB)",MOTOROLA,9499,3.7,26741,3220,4 GB,64 GB
18713,"realme narzo 50 5G (Hyper Blue, 128 GB)",realme,17489,4.3,4,0,6 MB,128 GB
18714,"Google Pixel 7 (Lemongrass, 128 GB)",Google,59999,4.4,1775,329,8 GB,128 GB
18715,Kechaoda K66 The Music House 4,Kechaoda,1180,3.9,15548,1207,32 MB,64 MB
18716,"SAMSUNG Galaxy M32 (Light Blue, 64 GB)",SAMSUNG,13490,4.2,4237,431,4 GB,64 GB
18717,KARBONN K9 Punch,KARBONN,1490,3.9,17,2,52 MB,32 MB
18718,"REDMI Note 10S (Deep Sea Blue, 128 GB)",REDMI,18499,4.2,7183,667,8 GB,128 GB
18719,KARBONN K9 PUNCH,KARBONN,1480,3.9,17,2,52 MB,32 MB
18720,Nokia TA-1010/105,Nokia,1445,4.2,21319,1704,4 MB,4 MB
18721,"POCO X4 Pro 5G (Yellow, 64 GB)",POCO,18999,4.2,61334,6308,6 GB,64 GB
18722,SAMSUNG GURU GT,SAMSUNG,1695,4.1,3207,204,153 MB,153 MB
18723,"Redmi Note 11 (Space Black, 64 GB)",Redmi,12520,4.2,9194,843,4 GB,64 GB
18724,"OPPO A74 5G BLACK (Fluid Black, 128 GB)",OPPO,17480,4.3,1770,138,6 GB,128 GB
18725,"MOTOROLA G40 Fusion (Frosted Champagne, 128 GB)",MOTOROLA,16499,4.2,55864,6036,6 GB,128 GB
18726,"OPPO Reno7 5G (Startrails Blue, 256 GB)",OPPO,28999,4.2,16442,2134,8 GB,256 GB
18728,"APPLE iPhone 12 mini (Red, 256 GB)",APPLE,52999,4.5,123326,9923,256 GB,Not Known
18729,"MOTOROLA Edge 30 Fusion (Cosmic grey, 128 GB)",MOTOROLA,39999,4.3,1806,343,8 GB,128 GB
18730,"Redmi Note 11 (Space Black, 64 GB)",Redmi,13849,4.2,9161,718,6 GB,64 GB
18731,MU M5000,MU,1299,3.9,2295,287,32 MB,32 MB
18732,"SAMSUNG S20 FE 5G (Cloud Navy, 128 GB)",SAMSUNG,34466,4.2,3658,419,8 GB,128 GB
18733,"IQOO Z6 Pro 5G (Legion Sky, 128 GB)",IQOO,23300,4.3,208,16,6 GB,128 GB
18734,"SAMSUNG M53 5G (Deep Ocean Blue, 128 GB)",SAMSUNG,24999,4.2,421,42,6 GB,128 GB
18735,"SAMSUNG Galaxy A53 (Awesome Black, 128 GB)",SAMSUNG,31999,4.0,563,67,6 GB,128 GB
18736,Micromax X421,Micromax,1049,4.1,1894,150,32 MB,32 MB
18737,"REDMI 11 Prime 5G (Thunder Black, 128 GB)",REDMI,15899,4.2,174,15,6 GB,128 GB
18738,Salora Coral,Salora,899,3.8,521,49,32 MB,32 MB
18739,"SAMSUNG Galaxy M33 5G (Emarld Brown, 128 GB)",SAMSUNG,19974,4.3,784,58,8 GB,128 GB
18740,"OPPO A15S (Fancy white, 128 GB)",OPPO,11999,4.3,5488,302,4 GB,128 GB
18741,Micromax J22,Micromax,1273,3.6,168,12,32 MB,32 MB
18742,"OPPO A15S (Rainbow Silver, 64 GB)",OPPO,11480,4.3,5488,302,4 GB,64 GB
18743,"OPPO A15s (Dynamic Black, 128 GB)",OPPO,12990,4.3,5488,302,4 GB,128 GB
18744,"SAMSUNG Galaxy M33 5G (Emarld Brown, 128 GB)",SAMSUNG,19974,4.3,784,58,8 GB,128 GB
18745,Micromax J22,Micromax,1273,3.6,168,12,32 MB,32 MB
18746,"OPPO A15S (Fancy white, 128 GB)",OPPO,11999,4.3,5488,302,4 GB,128 GB
18747,"OPPO A15s (Dynamic Black, 128 GB)",OPPO,12990,4.3,5488,302,4 GB,128 GB
18748,"OPPO A15S (Rainbow Silver, 64 GB)",OPPO,11480,4.3,5488,302,4 GB,64 GB
18749,"realme C21Y (Cross Black, 64 GB)",realme,10499,4.5,253614,9536,4 GB,64 GB
18750,"realme 8 (Cyber Black, 128 GB)",realme,15999,4.4,121458,10620,4 GB,128 GB
18751,KARBONN K9 Yuva,KARBONN,1330,3.9,571,38,64 MB,32 KB
18752,"REDMI A1 (Light Blue, 32 GB)",REDMI,6348,4.2,1893,141,2 GB,32 GB
18753,"REDMI A1 (Black, 32 GB)",REDMI,6458,4.2,1893,141,2 GB,32 GB
18754,"REDMI A1 (Light Green, 32 GB)",REDMI,6305,4.2,1893,141,2 GB,32 GB
18755,Salora Coral,Salora,899,3.8,521,49,32 MB,32 MB
18756,Micromax X755,Micromax,1429,3.8,4454,403,32 MB,32 MB
18757,"Tecno Pova 3 (Eco Black, 64 GB)",Tecno,10955,4.2,253,12,4 GB,64 GB
18758,LAVA Hero 600+,LAVA,999,4.1,7896,720,4 MB,3 MB
18759,"Tecno Spark 9T (Turquoise Cyan, 64 GB)",Tecno,9370,4.3,48,4,4 GB,64 GB
18760,KARBONN K9 max,KARBONN,1499,4.0,3494,319,64 MB,64 MB
18761,"APPLE iPhone 14 Plus ((PRODUCT)RED, 256 GB)",APPLE,92999,4.6,412,48,256 GB,Not Known
18762,Nokia 110 TA-1302 DS,Nokia,1714,4.0,24647,1954,4 MB,4 MB
18763,"POCO M3 (Yellow, 64 GB)",POCO,10999,4.3,124433,8927,4 GB,64 GB
18764,Kechaoda K10,Kechaoda,1095,3.9,13841,908,32 MB,32 MB
18765,"Infinix Hot 11 (Emerald Green, 64 GB)",Infinix,9999,4.3,16022,1375,4 GB,64 GB
18768,Kechaoda K28,Kechaoda,1480,4.1,2691,241,32 MB,64 MB
18769,itel Magic3 Smart Touch Keypad,itel,1499,4.1,786,72,8 MB,8 MB
18770,"POCO X4 Pro 5G (Laser Black, 64 GB)",POCO,18999,4.2,61334,6308,6 GB,64 GB
18771,Micromax J2,Micromax,917,3.7,301,17,32 MB,32 MB
18772,"realme Narzo 30 (Racing Blue, 128 GB)",realme,15499,4.3,76114,6042,6 GB,128 GB
18773,"IQOO Z6 Pro 5G (Legion Sky, 128 GB)",IQOO,23300,4.3,208,16,6 GB,128 GB
18774,"Redmi Note 11 (Space Black, 64 GB)",Redmi,12520,4.2,9194,843,4 GB,64 GB
18775,Kechaoda K33,Kechaoda,1119,4.0,8248,552,32 MB,32 MB
18777,"SAMSUNG M53 5G (Emerald Brown, 128 GB)",SAMSUNG,24790,4.2,421,42,6 GB,128 GB
18778,LAVA A1 2021,LAVA,1279,4.1,3851,343,32 MB,24 MB
18779,"SAMSUNG Galaxy A13 (Peach, 128 GB)",SAMSUNG,16499,4.1,257,19,6 GB,128 GB
18780,"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",SAMSUNG,11499,4.3,297273,23471,4 GB,128 GB
18781,Nokia 105 SS 2021,Nokia,1382,4.2,82937,6238,4 MB,4 MB
18782,"Tecno POVA 4 (Cryolite Blue, 128 GB)",Tecno,12845,4.3,4,1,8 GB,128 GB
18783,"REDMI 11 Prime 5G (Thunder Black, 64 GB)",REDMI,13499,4.2,791,57,4 GB,64 GB
18784,"OPPO A74 5G BLACK (Fluid Black, 128 GB)",OPPO,17480,4.3,1770,138,6 GB,128 GB
18785,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",SAMSUNG,13499,4.3,64571,5965,6 GB,128 GB
18786,Kechaoda A26,Kechaoda,1189,4.1,14177,1019,32 MB,32 MB
18788,Micromax X746,Micromax,1450,4.0,20881,2240,32 MB,32 MB
18789,"Micromax IN 2B (Green, 64 GB)",Micromax,6999,3.9,21229,3299,4 GB,64 GB
18790,itel U20,itel,1099,4.1,867,69,4 MB,32 MB
18791,"Tecno Camon 19 (Memphis Green, 128 GB)",Tecno,14960,4.2,174,20,6 GB,128 GB
18792,"Redmi Note 11 (Space Black, 64 GB)",Redmi,12520,4.2,9194,843,4 GB,64 GB
18793,"Redmi Note 11 (Starburst White, 64 GB)",Redmi,13444,4.2,9194,843,4 GB,64 GB
18794,Kechaoda K33,Kechaoda,1119,4.0,8248,552,32 MB,32 MB
18795,"vivo Y75 (Dancing waves, 128 GB)",vivo,19990,4.2,1465,124,8 GB,128 GB
18796,"Redmi Note 11 PRO Plus 5G (Mirage Blue, 128 GB)",Redmi,20459,4.2,5366,457,6 GB,128 GB
18797,"realme Narzo 30 (Racing Silver, 128 GB)",realme,15499,4.3,76114,6042,6 GB,128 GB
18798,Micromax J2,Micromax,917,3.7,301,17,32 MB,32 MB
18799,"realme Narzo 30 (Racing Blue, 128 GB)",realme,15499,4.3,76114,6042,6 GB,128 GB
18800,LAVA A1 2021,LAVA,1279,4.1,3851,343,32 MB,24 MB
18802,"POCO X4 Pro 5G (Laser Black, 64 GB)",POCO,18999,4.2,61334,6308,6 GB,64 GB
18803,itel Magic3 Smart Touch Keypad,itel,1499,4.1,786,72,8 MB,8 MB
18804,"itel A27 (Crystal Blue, 32 GB)",itel,5289,4.0,726,50,2 GB,32 GB
18805,"REDMI 11 Prime 5G (Thunder Black, 64 GB)",REDMI,13499,4.2,791,57,4 GB,64 GB
18806,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",SAMSUNG,13499,4.3,64571,5965,6 GB,128 GB
18807,Kechaoda A26,Kechaoda,1189,4.1,14177,1019,32 MB,32 MB
18808,"realme C20 (Cool Blue, 32 GB)",realme,7499,4.4,296108,14044,2 GB,32 GB
18809,"Tecno POVA 4 (Cryolite Blue, 128 GB)",Tecno,12845,4.3,4,1,8 GB,128 GB
18810,Micromax X746,Micromax,1450,4.0,20881,2240,32 MB,32 MB
18811,itel U20,itel,1099,4.1,867,69,4 MB,32 MB
18812,"Micromax IN 2B (Green, 64 GB)",Micromax,6999,3.9,21229,3299,4 GB,64 GB
18813,"REDMI 9 Power (Electric Green, 64 GB)",REDMI,11499,4.3,241660,17034,4 GB,64 GB
18814,"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",SAMSUNG,11499,4.3,297273,23471,4 GB,128 GB
18815,"Tecno Camon 19 (Memphis Green, 128 GB)",Tecno,14960,4.2,174,20,6 GB,128 GB
18816,"Infinix Smart 5A (Ocean Wave, 32 GB)",Infinix,7199,4.3,78425,5384,2 GB,32 GB
18817,"REDMI 9 Power (Electric Green, 64 GB)",REDMI,11499,4.3,241660,17034,4 GB,64 GB
18818,"REDMI Note 11 (Space Black, 64 GB)",REDMI,12950,4.3,156,13,4 GB,64 GB
18819,"Nokia C21 Plus (Dark Cyan, 64 GB)",Nokia,9999,3.8,94,16,4 GB,64 GB
